release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
85.1,2.98,6.29,-0.17,0.06,-0.49,3.18,-7.782972658,-123.7210163,-1.107624688,-0.1730321,24.39320712148949,-31.52336793,3.55,1.7,84.9,1483,6.2,54.35,206,3.09,-0.17,0.17
94.4,3.23,6.32,1.14,1.65,1.62,2.98,-6.675962419,-137.0559868,-6.557066625,15.899447300278084,33.809778768937235,-10.09479712,3.62,1.67,93.3,2385,6,54.49,136,0.94,1.14,-1.14
93.6,2.98,6.35,1,1.34,1.37,2.92,-6.308547789,-136.0070888,-5.991313499,13.82325150165146,32.572721395922585,-14.43508514,3.49,1.6,92.8,2251,6.1,54.39,141,1.29,1,-1
93.1,2.96,6.39,0.91,1.64,1.44,2.99,-5.883010173,-135.3530326,-6.501201065,12.50907456736458,30.77689550094933,-10.75804831,3.49,1.6,92.6,2279,6.1,54.39,140,1,0.91,-0.91
76.4,2.71,6.52,-0.26,-1.32,0.06,-1.13,-5.11560378,-111.1055368,-6.662703173,-1.187119651,20.428366077234266,-42.03283479,3.53,1.7,76.1,2287,6.2,54.34,339,5.23,-0.26,0.26
80.2,2.37,6.56,0.69,1.41,-0.41,2.05,-7.421521075,-116.5140627,-5.920807783,7.692969454181171,21.30094354496264,-18.34593601,3.45,1.58,79.9,1405,6.1,54.38,136,2.13,0.69,-0.69
85.9,3.08,6.25,-0.24,0.28,0.37,2.34,-5.919212851,-124.988135,-3.577702425,-1.339944184,24.371418223886096,-28.75287575,3.45,1.58,85.7,2114,6.1,54.43,128,2.8,-0.24,0.24
79.5,2.36,6.66,0.5,1.09,-0.15,4.34,-6.417961033,-115.7478664,-0.434899632,5.629638941201278,19.383119023083207,-22.45914864,3.34,1.58,79.6,1440,6.1,54.42,144,2.49,0.5,-0.5
79.5,2.49,6.65,0.35,1.04,0.27,0.64,-5.517090135,-115.6158155,-8.463469998,4.0297614310951895,17.84689115517486,-21.52292122,3.28,1.49,79.9,1432,6.2,54.25,141,2.52,0.35,-0.35
81.2,2.47,6.65,0.47,1.12,-0.04,3.01,-6.522898532,-118.1907698,-3.738728923,5.5836632355626605,19.775310350120016,-21.14614398,3.34,1.55,81.3,1219,6.1,54.41,145,2.3,0.47,-0.47
94.6,3,6.38,1.06,1.32,1.78,3.06,-5.524037935,-137.6359717,-5.933466739,14.685144310193513,27.90929377624268,-14.28646477,3.4,1.59,94.5,2312,6.1,54.43,140,1.21,1.06,-1.06
94.9,3.25,6.31,0.92,1.28,1.63,4.86,-6.269254337,-138.100019,-1.009626515,13.172651378245416,28.60202695858744,-15.70492964,3.43,1.62,94.8,2261,6.1,54.42,133,1.24,0.92,-0.92
94.2,3.18,6.24,0.87,1.22,0.81,2.71,-8.053941252,-136.8851568,-6.194180039,12.699241900288882,28.012849340350986,-15.58908607,3.34,1.55,94,2333,6.1,54.4,144,1.34,0.87,-0.87
91.5,3.05,6.39,1,1.24,0.46,2.43,-8.662124518,-132.8161886,-6.711976125,13.75760553619246,29.527846182309407,-16.17993095,3.34,1.55,91,2149,6.2,54.3,137,1.5,1,-1
84.1,3.18,6.21,-0.09,0.23,-0.52,2.26,-8.362433284,-122.2875931,-3.248071286,0.6194769683912847,22.96305043964255,-29.43558443,3.46,1.63,84,2304,6.2,54.33,174,2.99,-0.09,-0.09
86.7,2.78,6.3,-0.05,0.47,-1.56,0.92,-10.23965428,-125.8312052,-7.643663296,1.3712181602234594,23.649938453935626,-25.77695765,3.05,1.42,86.7,2360,6.3,54.21,166,2.56,-0.05,-0.05
85.1,2.9,6.37,-0.14,0.36,-0.05,2.61,-6.646728765,-123.9965638,-3.344890598,-0.336858798,20.19874230503423,-28.07054721,3.05,1.42,85.6,2227,6.1,54.36,180,2.74,-0.14,-0.14
93.2,2.81,6.52,0.81,1.44,0.45,2.24,-7.808451262,-135.3115174,-8.367190172,11.664318348216376,28.48922974781111,-12.81643397,3.05,1.42,92.8,2363,6.1,54.38,143,1.19,0.81,0.81
95,2.92,6.39,0.93,1.54,-0.8,2.26,-11.75187428,-137.7220211,-8.566083941,14.36659770566382,29.90990391027312,-10.72385757,3.61,1.74,94.6,2330,6.2,54.28,145,1,0.93,-0.93
94.6,2.96,6.39,0.68,1.41,0.49,3.92,-7.946038105,-137.5198888,-3.843605262,10.523068673265898,32.38901022347833,-13.64988118,3.61,1.74,93.9,2243,6.1,54.41,140,1.15,0.68,-0.68
94,3.03,6.35,0.67,1.44,0.58,3.85,-7.770812476,-136.5653301,-3.889208428,10.172835488228856,31.50429161970756,-13.53110315,3.61,1.74,93.2,2258,6,54.51,148,1.16,0.67,-0.67
92.8,2.88,6.42,0.88,1.49,0.67,3.43,-7.53294917,-134.8582786,-5.074689835,12.437391170446425,29.497323766524545,-13.01105025,3.61,1.74,92.3,2336,6.1,54.41,144,1.16,0.88,-0.88
