pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
SL,82.9,2.44,5.54,0.07,0.35,-0.12,1.16,-6.183655906262104,-120.58836169993562,-4.290467406677918,1.9595876732087043,24.54444192109199,-28.14236604561037,3.51,1.64,85.4,2087.0,8.0,52.48,169.0,2.99,0.07,0.07
SL,82.5,2.44,5.6,0.17,0.35,-1.82,1.25,-10.243736302903024,-119.57453779752431,-4.015071142901225,3.763909653032684,25.259145856473214,-28.15382834920211,3.51,1.7,83.8,2204.0,7.6,52.89,128.0,3.05,0.17,0.17
FF,95.4,2.48,5.68,1.53,1.03,-1.11,2.84,-13.036867420448033,-138.17525772848518,-4.095306725477052,22.644503499450664,33.8870541121687,-18.171602523049188,3.52,1.72,95.9,2609.0,7.0,53.46,120.0,1.51,1.53,1.53
CH,86.4,2.52,5.57,1.47,0.02,0.82,1.59,-7.148418311125989,-125.58750940713202,-3.3082251130214986,17.012863640560997,26.16523347508941,-31.499332967429552,3.51,1.64,87.4,1623.0,7.0,53.48,110.0,3.05,1.47,1.47
SL,83.4,2.42,5.64,0.0,0.54,-0.5,2.03,-6.871935866099414,-121.27344168398784,-2.9444321430374574,1.4295083991870146,24.545185847070638,-26.488637580571453,3.51,1.64,85.3,1993.0,7.7,52.84,90.0,2.75,0.0,0.0
SL,82.9,2.42,5.59,0.07,0.25,0.11,2.05,-5.5278304802198495,-120.6911934449864,-2.1500574147789067,1.7862361789952717,23.24546987612153,-29.519028565249428,3.51,1.64,84.5,2015.0,7.3,53.2,271.0,3.06,0.07,0.07
FF,95.8,2.57,5.79,1.29,1.28,-0.03,3.21,-9.95780669165037,-139.070355253606,-4.0801042593386345,19.067066289538985,33.95178959801673,-14.91361087617455,3.51,1.64,96.9,2529.0,7.3,53.24,126.0,1.24,1.29,1.29
FF,95.0,2.39,5.75,1.2,1.05,-0.34,3.07,-10.012929668033529,-137.8660080355844,-3.705908979325387,17.662273093343437,32.668077103872534,-18.183316917380807,3.4,1.61,96.2,2319.0,7.3,53.2,117.0,1.51,1.2,-1.2
FF,96.1,2.41,5.69,1.43,1.12,-0.27,2.56,-10.45491097589543,-139.42510359052957,-5.21941722577196,21.071003756589576,33.51124053059602,-16.54075502049491,3.4,1.61,96.8,2506.0,7.0,53.49,120.0,1.38,1.43,-1.43
CH,87.6,2.44,5.63,1.17,0.09,1.08,1.87,-5.813811489633034,-127.4512284468852,-3.205651378240293,13.904304129951228,25.68706642943998,-30.700231439071235,3.4,1.61,89.3,1579.0,7.3,53.19,114.0,2.87,1.17,-1.17
SL,83.9,2.3,5.59,0.07,0.37,-2.32,0.47,-11.013681556965109,-121.69826544402348,-6.281602258455567,2.793150402509893,22.601710231969868,-27.38538280878893,3.4,1.65,85.5,2121.0,7.4,53.1,121.0,2.87,0.07,-0.07
FF,95.4,2.39,5.76,1.31,1.11,-0.49,2.56,-10.662940450747396,-138.35415148763204,-5.292622564935277,19.309241279999306,32.68030213525224,-16.820433078866042,3.4,1.61,96.4,2489.0,7.2,53.34,124.0,1.42,1.31,-1.31
CH,87.0,2.32,5.59,1.34,-0.15,-0.57,1.44,-9.943378245802627,-126.26257867239909,-3.479471968981131,16.41522763751405,27.13401747670968,-33.19915166639291,3.4,1.61,89.0,1580.0,7.8,52.71,110.0,3.19,1.34,-1.34
CH,86.5,2.43,5.59,1.13,-0.02,-1.11,1.38,-11.01093620345994,-125.44389841661015,-3.8219798579586097,14.17602659442875,25.51232761354801,-31.754082398984632,3.4,1.63,88.4,1566.0,7.7,52.83,106.0,3.09,1.13,-1.13
FF,95.8,2.35,5.77,1.18,1.16,-1.67,2.62,-13.403238818068909,-138.77107428753612,-5.315383000706038,18.279157508551314,31.821969523540314,-16.08066442742615,3.4,1.6,96.5,2502.0,7.0,53.5,121.0,1.35,1.18,-1.18
CH,85.7,2.55,5.59,1.08,0.18,0.59,2.55,-6.947181737613636,-124.6853139787029,-1.286724713124582,12.688444310632272,24.965480957759198,-30.228342159843905,3.45,1.67,87.1,1232.0,7.2,53.33,104.0,2.92,1.08,-1.08
