pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
SL,86.8,0.95,6.48,-0.62,0.21,-0.76,2.97,-2.82365121509126,-126.432947605246,-2.69005605243439,-6.00630355195406,21.0969656009611,-29.8050867761138,3.6,1.74,85.6,2591.0,5.1,55.45,251.0,2.91,-0.62,-0.62
SL,86.4,0.99,6.44,-0.63,0.41,-1.27,1.49,-4.04604327476693,-125.522112090951,-6.27332056452083,-5.73827476658073,22.8251509914751,-27.1006854364753,3.56,1.74,84.8,2449.0,5.1,55.39,237.0,2.77,-0.63,-0.63
SL,86.7,1.03,6.44,-0.55,0.47,-0.35,1.6,-2.17622987531303,-126.04682591763,-6.14254395501663,-5.15599105555744,24.8381119693969,-26.4256479447628,3.57,1.74,84.9,2473.0,5.1,55.42,229.0,2.7,-0.55,-0.55
CH,84.1,1.08,6.25,0.99,1.01,-0.13,0.36,-4.65812985571878,-122.102996242988,-9.10486648351462,10.6202045527568,23.2522994411759,-20.7491269569793,3.28,1.63,83.2,1692.0,5.7,54.76,136.0,2.29,0.99,-0.99
FF,92.5,0.93,6.43,0.75,1.47,1.33,2.94,-0.596852531546148,-134.647071111422,-6.25343214655456,9.17627428633311,28.7811728181908,-13.3067314988092,3.37,1.64,92.2,2069.0,6.0,54.46,153.0,1.22,0.75,-0.75
FF,91.7,0.8,6.49,0.58,1.48,1.83,2.51,1.36919408993132,-133.320753426452,-7.26022702096879,6.45983276092889,28.6057557789651,-13.4761519070968,3.34,1.62,90.9,1949.0,5.9,54.64,159.0,1.28,0.58,-0.58
FF,92.3,0.87,6.52,0.69,1.57,1.3,1.29,-0.396774733201499,-134.002700261038,-10.7031752376525,8.29658367310117,28.318757856605,-11.5238523086657,3.46,1.71,91.4,2045.0,5.8,54.66,156.0,1.16,0.69,-0.69
CH,83.4,1.24,6.45,0.91,1.13,0.85,1.81,-2.56215618497595,-121.120045137156,-6.26252148926743,9.17681995075542,23.4905954367434,-20.4477412865329,3.48,1.68,82.0,1796.0,5.5,55.04,141.0,2.27,0.91,-0.91
SL,89.5,1.21,6.43,-0.46,0.37,-1.34,0.94,-5.25556729831544,-130.005337683625,-8.16624514324601,-4.04565793284581,24.6695399469798,-26.7943974269656,3.41,1.63,88.2,2603.0,5.3,55.16,231.0,2.57,-0.46,-0.46
SL,87.6,1.14,6.27,-0.51,0.62,-0.78,2.92,-3.57970272819725,-127.374278795922,-3.14272999278536,-4.6650700877899,25.2245473448194,-25.324383126869,3.4,1.59,86.2,2535.0,5.3,55.16,220.0,2.46,-0.51,-0.51
SL,87.9,1.22,6.38,-0.29,0.77,-0.96,2.5,-4.62660806163032,-127.868844029484,-4.79500493231674,-2.18496174172177,24.4336884980348,-23.2837518000069,3.28,1.55,86.7,2395.0,5.4,55.13,200.0,2.27,-0.29,-0.29
CH,83.5,1.29,6.35,1.4,0.42,-0.76,0.29,-7.24908440765571,-121.078002877143,-8.13340819385517,14.7347659138393,22.911215846534,-26.8854958834455,3.38,1.58,82.2,1744.0,5.5,54.98,107.0,2.97,1.4,1.4
FF,91.0,0.86,6.48,0.75,1.56,0.42,2.39,-2.60157679256778,-132.158764726825,-7.41975669649872,9.01570057585127,29.0876524928419,-13.1487233750765,3.38,1.59,89.3,1977.0,5.4,55.09,154.0,1.31,0.75,0.75
FF,91.5,1.0,6.46,0.66,1.45,-0.96,2.04,-6.19788073476305,-132.783168532481,-8.12873376795979,8.85509756568594,28.6302563708989,-14.0246979507249,3.43,1.57,89.8,2034.0,5.4,55.06,156.0,1.38,0.66,0.66
SL,85.1,1.19,6.45,-0.39,0.26,-1.43,0.56,-5.2781487074729,-123.629691775471,-7.90037740229916,-2.98150224503715,21.2613736806802,-28.5197042527733,3.39,1.64,83.7,2464.0,5.1,55.36,237.0,3.01,-0.39,-0.39
CH,82.3,1.44,6.29,1.4,0.7,0.27,2.73,-5.20704316674902,-119.735426360112,-2.86750169291839,14.1129017122215,21.4289390148833,-25.328029622535,2.92,1.42,81.4,1661.0,5.5,54.99,117.0,2.75,1.4,-1.4
CH,82.3,1.42,6.32,0.89,0.79,0.2,2.57,-4.37652161148437,-119.636326313701,-3.44385993467803,9.13195013911859,22.1180229960882,-24.3849967600338,3.48,1.65,81.3,1570.0,5.6,54.93,132.0,2.67,0.89,-0.89
CH,84.0,1.27,6.32,0.99,0.83,0.04,2.37,-4.70272291388356,-122.160281191543,-4.33250170940405,10.6013787095777,23.0165131660924,-23.4699693186292,3.33,1.55,83.2,3065.0,5.7,54.83,130.0,2.48,0.99,-0.99
FF,93.4,1.09,6.4,0.62,1.36,1.2,2.81,-1.03992245664461,-135.750406496514,-6.32153497158296,7.70812694222395,30.1610883937907,-14.6042843704002,3.44,1.55,92.3,1987.0,5.7,54.78,156.0,1.32,0.62,-0.62
FF,92.0,0.77,6.5,0.68,1.33,1.47,2.8,0.334975283764962,-133.795580813347,-6.29885498939077,7.90645934476245,28.8608137007717,-15.3432269173384,3.45,1.73,91.1,1942.0,5.8,54.71,153.0,1.42,0.68,-0.68
CU,79.1,1.01,6.38,-0.59,-0.51,-0.54,0.95,-2.28530811679734,-114.970750544692,-4.0959203769949,-4.59891234644556,20.095210454975,-36.0557436012505,3.43,1.6,77.6,2753.0,5.1,55.35,311.0,4.3,-0.59,0.59
CH,82.7,1.28,6.37,0.88,0.92,0.32,2.95,-3.84795938005531,-120.362977321168,-3.0462015559592,9.17342957692772,22.5705414257159,-23.073937947309,3.38,1.55,82.1,1548.0,5.8,54.71,136.0,2.47,0.88,-0.88
CH,83.2,1.28,6.24,1.12,0.79,0.48,1.48,-3.91904112909682,-120.868431722074,-5.88605466522432,11.4564281009078,23.3193619603099,-23.7472555272363,3.41,1.55,82.1,1682.0,5.6,54.87,125.0,2.6,1.12,-1.12
FF,92.1,1.18,6.47,0.69,1.44,1.7,1.01,-0.109670069054865,-133.587809457129,-10.7908745752086,7.98907536733466,28.5082133546587,-13.4796192081879,3.36,1.69,90.4,2022.0,5.4,55.08,154.0,1.36,0.69,-0.69
CU,76.5,1.18,6.53,-0.66,-0.39,-0.44,2.47,-2.2124783858229,-111.215331214617,-0.838783243276599,-4.87612946020954,20.5329466045415,-35.3740118420805,3.35,1.61,75.0,2614.0,5.3,55.22,300.0,4.45,-0.66,0.66
FF,92.0,0.97,6.49,0.38,1.54,-0.83,2.98,-5.29567514806992,-133.683321053389,-6.21525392419189,5.51291071161028,28.276311933962,-13.1047470153725,3.59,1.65,90.8,2006.0,5.6,54.92,166.0,1.23,0.38,0.38
SL,86.4,1.24,6.47,-0.4,0.24,-1.0,1.65,-4.47793546919258,-125.563180147768,-5.66418034464994,-3.23627184358525,22.7872189601343,-28.9139424100385,3.65,1.75,84.9,2621.0,5.1,55.36,238.0,2.93,-0.4,-0.4
SL,87.3,1.09,6.52,-0.26,0.76,-0.49,1.58,-3.19999790092982,-126.914236529395,-7.12066889629368,-2.12782743610657,24.5210473529101,-23.1176493694106,3.69,1.69,85.9,2503.0,5.3,55.18,199.0,2.34,-0.26,-0.26
CH,84.6,1.36,6.21,0.94,0.99,-0.15,0.63,-5.24309639515083,-122.787316159057,-8.4275961393766,10.29215714647,23.3066846756344,-21.0431253275284,3.1,1.48,83.4,1702.0,5.5,54.98,137.0,2.3,0.94,-0.94
FF,93.9,1.03,6.34,0.47,1.3,-0.98,2.01,-6.1552790586938,-136.339580451559,-8.22788302352174,7.13952031760867,28.8555063774294,-14.6473488409039,3.15,1.48,93.2,1879.0,5.9,54.59,160.0,1.33,0.47,-0.47
CH,83.1,1.24,6.29,1.26,0.6,-0.1,1.7,-5.33511544242977,-120.739149851295,-5.07345606839039,12.9378742482259,23.6270466225689,-25.7310244797396,3.11,1.59,81.7,1746.0,5.4,55.08,116.0,2.82,1.26,-1.26
FF,92.1,0.92,6.47,0.55,1.5,-0.21,3.68,-3.97284852570546,-133.974859185067,-4.36713041114132,7.2515594470097,28.4251114148118,-13.8478334122795,3.16,1.59,91.0,2079.0,5.6,54.9,160.0,1.26,0.55,-0.55
CH,81.4,1.32,6.25,1.49,0.64,1.22,2.68,-2.94674045441985,-118.406584896484,-2.59473064935775,14.1811200166653,21.9636026912792,-26.0507878719085,3.11,1.57,80.3,1656.0,5.5,55.02,113.0,2.9,1.49,-1.49
FF,91.5,1.13,6.45,0.57,1.58,0.66,1.84,-2.34654554780855,-132.910972754953,-8.95097969781856,7.06368360343034,27.889782493996,-12.2654712139596,3.19,1.67,90.4,1995.0,5.7,54.81,160.0,1.22,0.57,-0.57
FF,92.7,0.88,6.48,0.81,1.49,1.12,3.59,-1.11435354315348,-134.872636922545,-4.72415409251673,9.91700243647254,29.3700387483002,-13.5894052153033,3.42,1.69,91.7,2023.0,5.7,54.83,152.0,1.23,0.81,-0.81
CH,83.7,1.2,6.31,1.0,0.73,-0.09,1.12,-4.80329572490556,-121.508180328136,-6.81737658912031,10.5458281679604,23.711114388882,-24.0261902317425,3.44,1.66,82.4,1596.0,5.6,54.94,126.0,2.63,1.0,-1.0
FF,92.3,0.77,6.54,0.58,1.65,-0.26,4.46,-3.79428395433514,-134.178503091189,-2.92482897895552,7.71778347843362,29.3799981837376,-12.3326612786865,3.49,1.69,91.2,2130.0,5.7,54.79,161.0,1.1,0.58,-0.58
FF,92.7,0.96,6.5,0.79,1.63,1.52,3.04,-0.250905926312965,-134.813941068138,-6.43065372474846,9.51746458379562,30.065680270926,-11.6112681640758,3.51,1.64,91.7,2174.0,5.7,54.75,154.0,1.09,0.79,-0.79
SL,88.4,1.12,6.57,-0.16,0.63,-0.95,2.39,-4.60697387551621,-128.445151229202,-5.25403941052822,-0.768518350786171,24.7680092608273,-24.7475532766763,3.6,1.72,86.6,2441.0,5.1,55.44,194.0,2.42,-0.16,-0.16
FF,91.5,1.2,6.42,0.73,1.48,-0.52,2.11,-5.78045772389795,-132.822996023708,-8.01196947459336,9.66742069294661,27.3881262503769,-13.5673405947222,3.6,1.83,90.4,2056.0,5.7,54.8,154.0,1.31,0.73,0.73
CU,78.1,1.24,6.42,-0.44,-0.61,0.72,2.56,-0.317794988041249,-113.605060418952,-0.362664329621057,-3.6996179526373,20.2859202653267,-37.5025425840628,3.42,1.67,77.2,2875.0,5.6,54.9,324.0,4.45,-0.44,0.44
FF,91.6,1.07,6.52,0.73,1.46,2.46,2.62,1.9563158239951,-133.093955578196,-6.92186987994165,8.02701293403793,27.965198080677,-14.1148856427079,3.47,1.72,90.3,2105.0,5.5,55.0,153.0,1.35,0.73,-0.73
FF,91.8,0.92,6.56,0.71,1.53,0.46,2.34,-2.6478594435434,-133.438234948857,-7.95631035188085,8.876821413987,27.3032569500638,-12.9165209987757,3.42,1.74,90.8,2126.0,5.6,54.87,155.0,1.24,0.71,-0.71
CH,86.0,1.16,6.31,0.86,1.27,-0.57,1.37,-5.69195605969026,-124.859400174712,-7.83998228148726,9.83230038063817,23.7389356116117,-17.9768324644961,3.41,1.57,84.8,1776.0,5.5,54.96,146.0,1.91,0.86,0.86
CU,79.6,1.08,6.35,-0.37,-0.78,1.0,2.96,0.473368644634857,-115.648619932657,0.697147012385178,-3.25448559559113,21.7744291885424,-39.2907632664455,3.49,1.68,77.8,2865.0,5.1,55.39,335.0,4.56,-0.37,-0.37
SL,89.4,1.22,6.35,-0.17,0.83,-0.49,2.46,-3.80798413199294,-129.947686256915,-5.1537576968131,-1.1099712301132,25.6262692433829,-22.3353201966812,3.54,1.72,87.7,2617.0,5.1,55.35,192.0,2.14,-0.17,-0.17
FF,95.0,1.11,6.39,0.63,1.59,-1.04,3.17,-6.92560155188482,-138.031888553511,-6.20053605269447,9.42084638780154,30.3378640574607,-11.0631874016438,3.47,1.64,94.0,2221.0,5.8,54.72,158.0,0.99,0.63,0.63
