pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
FF,90.5,1.9,5.55,0.94,1.29,0.42,3.82,-5.611310997990793,-131.7286324323879,-1.14887349727829,12.104120051949572,27.286206069317448,-17.06639306386668,3.47,1.59,89.5,2027.0,5.6,54.9,130.0,1.48,0.94,0.94
FF,92.1,1.75,5.64,0.72,1.37,-0.61,2.5,-7.454201873366851,-133.93167137171278,-5.092352230001986,10.205669623887962,26.911753493068883,-14.715378358423791,3.47,1.59,91.3,2156.0,5.7,54.84,132.0,1.3,0.72,0.72
SL,84.0,1.95,5.64,-0.37,0.55,-1.3,1.93,-6.720523357023197,-122.19556072222036,-3.2815910398756203,-2.454068392191762,22.74097674371317,-26.250167650215246,3.27,1.66,83.3,2194.0,5.7,54.76,164.0,2.67,-0.37,-0.37
FF,90.7,1.82,5.79,0.77,1.25,0.82,3.94,-4.067267550334962,-132.0852965416141,-1.3766048090298857,9.858482390588252,28.060614847189925,-17.43261801787117,3.37,1.54,89.6,2041.0,5.5,54.95,131.0,1.51,0.77,0.77
FF,92.4,1.75,5.78,0.7,1.29,0.56,3.27,-4.479859795749904,-134.4803089487055,-3.360268195362084,9.45185688119196,28.48995156357752,-16.010487117314398,3.41,1.56,91.2,2082.0,5.5,54.97,135.0,1.38,0.7,-0.7
FF,90.6,1.74,5.86,0.75,1.3,0.02,2.24,-5.794379606420932,-131.79360069459688,-5.847274452308591,9.968552111009574,26.551084235513244,-15.983798642706375,3.48,1.68,89.6,2065.0,5.6,54.94,131.0,1.47,0.75,-0.75
SL,83.1,1.77,5.76,0.0,0.91,-0.92,1.27,-6.113625823056084,-120.88418899064229,-5.595433970795664,1.121980806233133,21.424858300002903,-22.392407618962807,3.52,1.65,82.6,2193.0,5.8,54.71,164.0,2.37,0.0,0.0
FF,90.3,1.75,5.69,0.77,1.24,0.16,3.42,-5.53653513175353,-131.48837487974598,-2.309056387815673,10.163641643780164,28.148602574373047,-17.554448739720897,3.57,1.7,89.2,1981.0,5.6,54.89,133.0,1.56,0.77,-0.77
FF,92.2,1.76,5.6,1.06,0.85,0.2,2.24,-6.198815221785971,-134.08297225464668,-4.526246261203467,14.121660406578105,28.048541878158243,-21.187265465650725,3.41,1.56,91.2,1989.0,5.6,54.85,130.0,1.83,1.06,-1.06
CH,85.6,1.88,5.56,0.84,0.93,-0.32,1.24,-6.792427801729452,-124.45447398845398,-5.758339932200957,10.02986423361502,23.37293920111085,-21.534097471674187,3.62,1.77,84.9,1666.0,5.7,54.76,133.0,2.17,0.84,-0.84
CH,83.6,1.78,5.72,0.58,1.25,-1.09,0.81,-7.643023775560751,-121.3888320245034,-7.272985210769886,7.101372075269082,21.79707387623439,-18.59641971132598,3.61,1.77,82.8,1627.0,5.7,54.82,143.0,2.01,0.58,-0.58
FF,91.9,1.78,5.79,0.87,1.44,-1.01,1.53,-8.871800245585677,-133.42719082379938,-8.01527196977774,12.18421383359677,26.74199762174854,-13.347995404728763,3.24,1.64,91.5,2101.0,6.0,54.51,135.0,1.25,0.87,0.87
FF,91.0,1.94,5.58,1.14,1.16,-0.87,2.74,-9.292171411509038,-132.23057797344867,-3.6585253018631914,15.30937732159838,28.415780163752416,-17.935833571894438,3.4,1.74,89.5,2079.0,5.4,55.06,121.0,1.6,1.14,1.14
